R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
     Pint       Hint       etaref      pCLA conv   zbot     %vol    Tbot     Tm      Fbot     Ftop     dlid
 0.54493D-09 0.82500D+12 0.63096D+15   0.0150  1   55.706  0.01761  267.01  267.67   -2.931   24.217   18.19
 0.57375D-09 0.82500D+12 0.70795D+15   0.0150  1   52.808  0.01710  267.39  267.97   -3.342   23.823   18.57
 0.60217D-09 0.82500D+12 0.79433D+15   0.0150  1   50.232  0.01667  267.71  268.25   -3.754   23.426   18.95
 0.63366D-09 0.82500D+12 0.89125D+15   0.0150  1   47.656  0.01626  268.04  268.51   -4.160   23.033   19.34
 0.62954D-09 0.82500D+12 0.10000D+16   0.0150  1   47.978  0.01631  268.00  268.85   -4.622   22.600   19.71
 0.29977D-09 0.84000D+12 0.15849D+15   0.0150  1  106.582  0.03553  258.31  261.53    0.000   27.432   14.27
 0.43871D-09 0.84000D+12 0.17783D+15   0.0150  1   71.162  0.02089  264.86  265.87    1.675   28.958   13.82
 0.50192D-09 0.84000D+12 0.19953D+15   0.0150  1   61.824  0.01878  266.19  266.94    1.909   29.194   13.90
 0.56749D-09 0.84000D+12 0.22387D+15   0.0150  1   54.418  0.01738  267.18  267.75    1.967   29.264   14.02
 0.63685D-09 0.84000D+12 0.25119D+15   0.0150  1   48.300  0.01636  267.96  268.41    1.921   29.237   14.16
 0.71052D-09 0.84000D+12 0.28184D+15   0.0150  1   43.148  0.01558  268.59  268.96    1.807   29.140   14.31
 0.79110D-09 0.84000D+12 0.31623D+15   0.0150  1   38.640  0.01496  269.13  269.43    1.655   29.006   14.46
 0.88482D-09 0.84000D+12 0.35481D+15   0.0150  1   34.454  0.01442  269.61  269.85    1.502   28.869   14.61
 0.98396D-09 0.84000D+12 0.39811D+15   0.0150  1   30.912  0.01399  270.01  270.21    1.308   28.689   14.77
 0.99411D-09 0.84000D+12 0.44668D+15   0.0150  1   30.590  0.01395  270.05  270.48    0.722   28.127   15.08
 0.52287D-09 0.84000D+12 0.50119D+15   0.0150  1   59.248  0.01827  266.54  267.29   -2.300   25.304   17.32
 0.55176D-09 0.84000D+12 0.56234D+15   0.0150  1   56.028  0.01767  266.97  267.61   -2.720   24.904   17.68
 0.57739D-09 0.84000D+12 0.63096D+15   0.0150  1   53.452  0.01721  267.30  267.92   -3.152   24.493   18.04
 0.60934D-09 0.84000D+12 0.70795D+15   0.0150  1   50.554  0.01672  267.67  268.20   -3.569   24.091   18.42
 0.64099D-09 0.84000D+12 0.79433D+15   0.0150  1   47.978  0.01631  268.00  268.46   -3.986   23.687   18.80
 0.67161D-09 0.84000D+12 0.89125D+15   0.0150  1   45.724  0.01596  268.28  268.71   -4.405   23.282   19.19
 0.63685D-09 0.84000D+12 0.10000D+16   0.0150  1   48.300  0.01636  267.96  269.13   -4.918   22.814   19.51
 0.29761D-09 0.85500D+12 0.14125D+15   0.0150  1  109.480  0.03764  257.58  261.15    0.000   27.922   13.88
 0.41948D-09 0.85500D+12 0.15849D+15   0.0150  1   75.992  0.02216  264.12  265.31    1.532   29.309   13.55
 0.48661D-09 0.85500D+12 0.17783D+15   0.0150  1   65.044  0.01946  265.74  266.57    1.934   29.699   13.60
 0.55244D-09 0.85500D+12 0.19953D+15   0.0150  1   56.994  0.01784  266.84  267.47    2.050   29.825   13.71
 0.62022D-09 0.85500D+12 0.22387D+15   0.0150  1   50.554  0.01672  267.67  268.17    2.025   29.819   13.84
 0.69308D-09 0.85500D+12 0.25119D+15   0.0150  1   45.080  0.01587  268.35  268.75    1.930   29.743   13.98
 0.77383D-09 0.85500D+12 0.28184D+15   0.0150  1   40.250  0.01518  268.94  269.26    1.798   29.629   14.13
 0.86131D-09 0.85500D+12 0.31623D+15   0.0150  1   36.064  0.01462  269.43  269.69    1.628   29.476   14.28
 0.96227D-09 0.85500D+12 0.35481D+15   0.0150  1   32.200  0.01414  269.87  270.08    1.456   29.319   14.43
 0.10555D-08 0.85500D+12 0.39811D+15   0.0150  1   29.302  0.01380  270.19  270.41    1.194   29.072   14.61
 0.10015D-08 0.85500D+12 0.44668D+15   0.0150  1   30.912  0.01399  270.01  270.64    0.352   28.260   15.00
 0.55244D-09 0.85500D+12 0.50119D+15   0.0150  1   56.994  0.01784  266.84  267.55   -2.511   25.591   17.18
 0.58430D-09 0.85500D+12 0.56234D+15   0.0150  1   53.774  0.01727  267.26  267.85   -2.938   25.183   17.54
 0.61268D-09 0.85500D+12 0.63096D+15   0.0150  1   51.198  0.01683  267.59  268.14   -3.375   24.765   17.90
 0.64822D-09 0.85500D+12 0.70795D+15   0.0150  1   48.300  0.01636  267.96  268.40   -3.798   24.356   18.28
 0.67896D-09 0.85500D+12 0.79433D+15   0.0150  1   46.046  0.01601  268.24  268.66   -4.228   23.940   18.65
 0.67896D-09 0.85500D+12 0.89125D+15   0.0150  1   46.046  0.01601  268.24  268.99   -4.702   23.493   19.01
 0.64822D-09 0.85500D+12 0.10000D+16   0.0150  1   48.300  0.01636  267.96  269.40   -5.206   23.033   19.33
 0.39081D-09 0.87000D+12 0.14125D+15   0.0150  1   83.398  0.02442  262.93  264.44    1.108   29.405   13.34
 0.46855D-09 0.87000D+12 0.15849D+15   0.0150  1   68.908  0.02034  265.19  266.14    1.902   30.150   13.32
 0.53594D-09 0.87000D+12 0.17783D+15   0.0150  1   59.892  0.01840  266.45  267.15    2.112   30.365   13.41
